chapter_123,"Chapter 1: Test1"
chapter_1234,"Chapter 1: Test 2"
desc_1,"test desc 1"
desc_2,"test desc 2"
desc_3,"test desc 3"
desc_4,"test desc 4"
line_1_2,"I am using the localization en.csv here "
line_1_4,"This is Group 1 Block 1 Node 2 (2)"
choice_1_6_0,"This is Choice 1"
choice_1_6_1,"This is Choice 2"
line_2_0,"This is Group 1 Block 2 Node 1 (3) "
line_2_1,"This is Group 1 Block 2 Node 2 (4)"
line_3_0,"This is Group 2 Block 1 Node 1 (5) "
line_3_2,"This is Group 2 Block 1 Node 2 (6)"
line_4_0,"This is Group 2 Block 2 Node 1 (7) "
line_4_2,"This is Group 2 Block 2 Node 2 (8)"
Dulcinea <Window1>,"Dulcinea <Window1>"
Dulcinea <Window2>,"Dulcinea <Window2>"
Io,"Io"
